Song,Artist,Genre,Album,Rating,Review,Release Date
Without Me,Lady Gaga,Classical,Essential Collection,5.0,This song never gets old!,2010-11-04
Let Her Go,Rihanna,House,Top Chart,3.4,This song never gets old!,2011-12-13
Rolling in the Deep,Nirvana,Punk,Platinum Records,3.9,This song never gets old!,2022-03-25
Uptown Funk,John Legend,Metal,Platinum Records,3.1,An absolute banger!,2015-08-20
Stressed Out,Eminem,House,Greatest Songs,3.9,A must-listen for all music lovers!,2013-11-08
Sorry,Shawn Mendes,R&B,Unplugged,3.1,Timeless classic!,2000-05-09
Sorry,The Chainsmokers,R&B,Best Hits,3.2,Fantastic melody and vocals.,2016-04-28
Sunflower,The Chainsmokers,House,Best Hits,3.7,A must-listen for all music lovers!,2013-01-18
Cheap Thrills,Shawn Mendes,Hip-Hop,Best Hits,4.9,Super catchy and emotional.,2024-06-09
Shallow,Queen,Folk,Golden Era,4.4,A must-listen for all music lovers!,2021-06-14
Someone Like You,Dua Lipa,Pop,Unplugged,3.5,A great beat with meaningful lyrics.,2012-08-14
Shape of You,Imagine Dragons,Reggae,Best Hits,4.8,Timeless classic!,2012-05-02
Rolling in the Deep,Taylor Swift,Metal,Greatest Songs,3.4,Timeless classic!,2008-08-24
We Don't Talk Anymore,Queen,Lo-Fi,Essential Collection,3.0,A masterpiece with incredible lyrics!,2007-06-21
Bad Guy,John Legend,Reggae,Unplugged,4.3,An absolute banger!,2001-05-15
Montero,BTS,Metal,Best Hits,3.6,Super catchy and emotional.,2013-04-19
Smells Like Teen Spirit,Eminem,Grunge,Best Hits,3.6,A true chart-topper!,2005-09-07
Sorry,Dua Lipa,Hip-Hop,Top Chart,3.6,Fantastic melody and vocals.,2024-11-04
Blank Space,Nirvana,Pop,Essential Collection,4.2,Timeless classic!,2019-10-11
Shape of You,Nirvana,Folk,Unplugged,3.9,A must-listen for all music lovers!,2004-10-18
Hotel California,Lady Gaga,Reggae,Best Hits,3.5,Super catchy and emotional.,2000-12-01
Despacito,Sam Smith,Jazz,Platinum Records,4.0,A great beat with meaningful lyrics.,2012-02-25
Attention,Dua Lipa,Folk,Essential Collection,3.7,An absolute banger!,2022-06-12
Blank Space,The Beatles,Hip-Hop,Essential Collection,3.2,Super catchy and emotional.,2024-09-03
Shake It Off,Bruno Mars,Blues,Unplugged,4.3,Super catchy and emotional.,2020-01-17
Old Town Road,Shawn Mendes,Hip-Hop,Golden Era,4.4,A great beat with meaningful lyrics.,2006-06-18
Radioactive,Taylor Swift,Electronic,Platinum Records,4.5,Fantastic melody and vocals.,2006-03-27
What Makes You Beautiful,Dua Lipa,Reggae,Platinum Records,3.3,Super catchy and emotional.,2017-07-28
What Makes You Beautiful,Camila Cabello,Jazz,Unplugged,3.7,A masterpiece with incredible lyrics!,2022-04-10
Rolling in the Deep,Ed Sheeran,R&B,Golden Era,4.6,Fantastic melody and vocals.,2005-06-11
Rockstar,One Direction,Lo-Fi,Essential Collection,4.5,This song never gets old!,2013-04-18
Smells Like Teen Spirit,Queen,Funk,Platinum Records,4.2,A great beat with meaningful lyrics.,2023-04-01
7 Rings,John Legend,Blues,Golden Era,4.2,A masterpiece with incredible lyrics!,2001-01-25
Rockstar,Ed Sheeran,Blues,Golden Era,3.5,Super catchy and emotional.,2016-02-17
Waka Waka,Shawn Mendes,Punk,Greatest Songs,3.6,Timeless classic!,2012-08-02
Without Me,Billie Eilish,Reggae,Golden Era,4.2,An absolute banger!,2005-05-10
Sorry,Shawn Mendes,Soul,Golden Era,3.2,Super catchy and emotional.,2000-04-21
Dance Monkey,Taylor Swift,Electronic,Unplugged,3.2,A masterpiece with incredible lyrics!,2024-12-08
Let Her Go,Taylor Swift,Punk,Top Chart,4.3,A great beat with meaningful lyrics.,2001-05-24
Thinking Out Loud,Billie Eilish,Lo-Fi,Golden Era,4.2,Fantastic melody and vocals.,2003-07-21
Believer,Imagine Dragons,Jazz,Greatest Songs,3.1,A masterpiece with incredible lyrics!,2012-03-27
7 Rings,Lady Gaga,Hip-Hop,Platinum Records,4.9,Fantastic melody and vocals.,2023-05-28
Sorry,Katy Perry,Jazz,Platinum Records,4.8,A must-listen for all music lovers!,2002-02-03
Sorry,Camila Cabello,Metal,Essential Collection,4.6,Fantastic melody and vocals.,2016-12-23
Happy,The Beatles,Pop,Best Hits,3.4,An absolute banger!,2024-12-14
Stressed Out,Post Malone,Electronic,Golden Era,3.9,A masterpiece with incredible lyrics!,2000-01-24
Payphone,Coldplay,Trap,Unplugged,3.2,A masterpiece with incredible lyrics!,2017-10-05
Can't Stop the Feeling,Post Malone,Disco,Golden Era,4.9,Timeless classic!,2003-12-19
Stay,Camila Cabello,Punk,Unplugged,4.2,A must-listen for all music lovers!,2012-04-27
Peaches,Queen,Grunge,Best Hits,3.6,A true chart-topper!,2019-05-26
Payphone,Lil Nas X,House,Best Hits,3.9,A true chart-topper!,2010-07-17
Payphone,Shawn Mendes,Jazz,Platinum Records,4.5,Super catchy and emotional.,2023-01-10
Shape of You,The Weeknd,Trap,Unplugged,4.1,Super catchy and emotional.,2008-08-07
Shallow,Billie Eilish,Lo-Fi,Greatest Songs,3.3,An absolute banger!,2003-05-21
Rockstar,Katy Perry,Trap,Platinum Records,3.3,An absolute banger!,2018-08-13
Bohemian Rhapsody,Lady Gaga,Grunge,Greatest Songs,3.8,Timeless classic!,2009-07-03
Memories,Imagine Dragons,R&B,Unplugged,4.4,A great beat with meaningful lyrics.,2007-07-18
Bad Habits,Drake,Trap,Top Chart,4.8,Fantastic melody and vocals.,2008-08-10
God's Plan,BTS,Rock,Best Hits,4.5,Fantastic melody and vocals.,2022-09-17
Uptown Funk,Drake,R&B,Essential Collection,4.7,A great beat with meaningful lyrics.,2007-07-01
Despacito,The Beatles,Rock,Best Hits,4.1,A true chart-topper!,2015-12-13
Take Me to Church,Maroon 5,Electronic,Unplugged,3.7,Timeless classic!,2011-09-23
Shake It Off,Ed Sheeran,Trap,Essential Collection,3.7,Fantastic melody and vocals.,2003-08-08
Levitating,Queen,Blues,Golden Era,4.3,Timeless classic!,2018-01-13
Despacito,Taylor Swift,Disco,Greatest Songs,3.2,A great beat with meaningful lyrics.,2024-04-15
Take Me to Church,Sam Smith,Electronic,Unplugged,3.9,Fantastic melody and vocals.,2011-08-19
Let Her Go,Rihanna,Jazz,Unplugged,4.0,A masterpiece with incredible lyrics!,2003-11-10
Bohemian Rhapsody,Dua Lipa,Hip-Hop,Top Chart,4.0,A great beat with meaningful lyrics.,2010-03-26
Bohemian Rhapsody,Justin Bieber,House,Golden Era,4.9,Timeless classic!,2020-02-04
Hotel California,Camila Cabello,Lo-Fi,Platinum Records,4.6,A great beat with meaningful lyrics.,2017-03-07
Roar,Katy Perry,Electronic,Essential Collection,3.3,A true chart-topper!,2015-10-08
7 Rings,Imagine Dragons,House,Greatest Songs,3.5,Fantastic melody and vocals.,2002-03-13
Peaches,Lil Nas X,Folk,Greatest Songs,4.9,An absolute banger!,2019-08-17
Without Me,Lady Gaga,Hip-Hop,Unplugged,3.6,Timeless classic!,2023-10-25
Radioactive,Imagine Dragons,Classical,Platinum Records,4.9,A true chart-topper!,2007-01-25
Bad Habits,Sia,Soul,Essential Collection,3.1,A masterpiece with incredible lyrics!,2015-05-14
Taki Taki,BTS,Country,Platinum Records,4.9,Super catchy and emotional.,2009-12-11
Billie Jean,Post Malone,Classical,Greatest Songs,3.4,This song never gets old!,2004-01-11
Sorry,Justin Bieber,Classical,Top Chart,4.6,A must-listen for all music lovers!,2022-10-20
Memories,John Legend,Electronic,Best Hits,4.0,Super catchy and emotional.,2013-01-09
Someone Like You,Michael Jackson,Pop,Greatest Songs,4.1,A great beat with meaningful lyrics.,2022-04-25
Radioactive,BTS,Disco,Unplugged,4.0,Fantastic melody and vocals.,2017-08-18
Taki Taki,Drake,Folk,Golden Era,3.1,A masterpiece with incredible lyrics!,2015-06-21
Despacito,Adele,Punk,Best Hits,3.9,A must-listen for all music lovers!,2007-06-15
Sorry,Drake,Reggae,Greatest Songs,4.0,This song never gets old!,2022-08-17
Rockstar,Queen,Disco,Golden Era,4.1,A great beat with meaningful lyrics.,2017-12-24
Uptown Funk,Katy Perry,Soul,Unplugged,3.8,A must-listen for all music lovers!,2002-02-14
Thunder,Sia,Blues,Best Hits,4.2,An absolute banger!,2022-02-13
Blank Space,Post Malone,Soul,Unplugged,3.4,A must-listen for all music lovers!,2004-01-06
Sorry,Michael Jackson,Electronic,Greatest Songs,3.0,This song never gets old!,2016-12-04
7 Rings,Lady Gaga,Classical,Golden Era,4.1,An absolute banger!,2005-04-15
Roar,Billie Eilish,House,Greatest Songs,4.2,Timeless classic!,2003-01-14
Blank Space,Taylor Swift,Folk,Platinum Records,3.0,A true chart-topper!,2015-03-21
Payphone,One Direction,Country,Top Chart,4.9,Fantastic melody and vocals.,2016-08-05
Thunder,The Weeknd,Hip-Hop,Essential Collection,4.0,A true chart-topper!,2023-09-14
Counting Stars,The Weeknd,Metal,Platinum Records,4.0,Super catchy and emotional.,2012-01-10
Counting Stars,Maroon 5,Jazz,Platinum Records,4.4,Timeless classic!,2003-07-10
Roar,Billie Eilish,Country,Greatest Songs,3.5,A great beat with meaningful lyrics.,2023-11-09
Levitating,The Weeknd,R&B,Essential Collection,4.7,A great beat with meaningful lyrics.,2016-06-20
Billie Jean,Drake,Trap,Unplugged,3.6,This song never gets old!,2011-10-21
Happy,The Chainsmokers,Hip-Hop,Best Hits,3.5,This song never gets old!,2005-03-10
Bad Guy,Eminem,Blues,Golden Era,3.2,Timeless classic!,2016-11-07
See You Again,Imagine Dragons,Classical,Platinum Records,3.4,Timeless classic!,2019-12-12
Stressed Out,Rihanna,R&B,Platinum Records,4.1,A must-listen for all music lovers!,2016-10-09
Sorry,Maroon 5,Blues,Greatest Songs,3.6,A masterpiece with incredible lyrics!,2015-08-07
Faded,Michael Jackson,Jazz,Unplugged,4.3,A true chart-topper!,2010-12-24
Despacito,Lady Gaga,Grunge,Greatest Songs,4.9,A great beat with meaningful lyrics.,2004-03-17
What Makes You Beautiful,Katy Perry,Country,Best Hits,3.6,An absolute banger!,2022-08-01
Blank Space,Sia,Funk,Greatest Songs,3.3,This song never gets old!,2010-07-06
Sugar,Katy Perry,R&B,Platinum Records,4.7,Fantastic melody and vocals.,2004-08-03
Without Me,Eminem,Pop,Golden Era,3.1,A great beat with meaningful lyrics.,2000-05-23
Believer,Dua Lipa,Hip-Hop,Essential Collection,5.0,Timeless classic!,2006-04-23
Shake It Off,Sia,Punk,Top Chart,5.0,An absolute banger!,2003-09-15
Bad Guy,The Beatles,Classical,Greatest Songs,3.4,A masterpiece with incredible lyrics!,2010-02-02
Shape of You,Sia,Hip-Hop,Top Chart,3.2,Fantastic melody and vocals.,2019-08-20
Faded,Coldplay,Trap,Unplugged,4.3,Super catchy and emotional.,2005-02-12
Bohemian Rhapsody,Rihanna,Country,Essential Collection,4.3,Fantastic melody and vocals.,2020-09-08
Someone Like You,Lady Gaga,Electronic,Essential Collection,4.9,Super catchy and emotional.,2011-11-01
Montero,Rihanna,Blues,Unplugged,3.6,A true chart-topper!,2006-05-10
Hello,Lady Gaga,Pop,Unplugged,4.9,Timeless classic!,2013-10-24
Sugar,Maroon 5,Punk,Greatest Songs,4.8,A true chart-topper!,2009-06-20
Stay,BTS,Blues,Essential Collection,3.5,Super catchy and emotional.,2024-07-09
We Don't Talk Anymore,Dua Lipa,Country,Best Hits,3.3,Timeless classic!,2017-09-21
Faded,Queen,Soul,Top Chart,4.8,Fantastic melody and vocals.,2021-04-03
Shape of You,Nirvana,Country,Platinum Records,3.6,Timeless classic!,2018-03-04
Rockstar,Nirvana,Disco,Unplugged,5.0,An absolute banger!,2023-04-09
Havana,The Weeknd,Blues,Best Hits,4.3,Timeless classic!,2005-05-19
Cheap Thrills,Adele,R&B,Golden Era,3.0,A masterpiece with incredible lyrics!,2003-03-26
Can't Stop the Feeling,Billie Eilish,Lo-Fi,Unplugged,3.7,Fantastic melody and vocals.,2016-10-21
Despacito,The Beatles,Lo-Fi,Greatest Songs,4.5,A masterpiece with incredible lyrics!,2024-07-11
Rolling in the Deep,The Weeknd,Folk,Essential Collection,3.6,A must-listen for all music lovers!,2018-10-20
Memories,Rihanna,Pop,Unplugged,3.5,Timeless classic!,2008-12-28
Sugar,Adele,Folk,Platinum Records,3.0,An absolute banger!,2019-11-16
Sugar,Michael Jackson,Trap,Top Chart,4.3,A masterpiece with incredible lyrics!,2006-03-01
Senorita,The Weeknd,Pop,Platinum Records,4.7,Fantastic melody and vocals.,2007-04-03
Sugar,Adele,R&B,Best Hits,4.9,Timeless classic!,2019-03-05
Bad Guy,Eminem,Soul,Platinum Records,4.2,A masterpiece with incredible lyrics!,2005-08-28
7 Rings,The Chainsmokers,Soul,Greatest Songs,4.4,This song never gets old!,2000-06-03
Perfect,Nirvana,Metal,Essential Collection,4.4,A great beat with meaningful lyrics.,2001-03-17
Perfect,The Chainsmokers,Country,Top Chart,4.9,A masterpiece with incredible lyrics!,2014-07-22
Perfect,Bruno Mars,R&B,Top Chart,3.5,A masterpiece with incredible lyrics!,2015-06-10
Chandelier,Taylor Swift,Rock,Top Chart,4.3,Timeless classic!,2016-02-08
Radioactive,The Beatles,Soul,Top Chart,4.2,Super catchy and emotional.,2017-07-13
Faded,The Chainsmokers,Folk,Unplugged,3.4,A great beat with meaningful lyrics.,2024-07-23
Hotline Bling,Michael Jackson,Soul,Greatest Songs,3.9,Timeless classic!,2015-06-10
God's Plan,BTS,Funk,Greatest Songs,3.6,A true chart-topper!,2016-06-17
Love Yourself,One Direction,Lo-Fi,Best Hits,3.4,A true chart-topper!,2002-10-27
Smells Like Teen Spirit,Adele,Classical,Best Hits,4.3,Super catchy and emotional.,2006-03-21
Peaches,Queen,R&B,Platinum Records,4.7,An absolute banger!,2008-12-05
Radioactive,Dua Lipa,Pop,Greatest Songs,3.8,Timeless classic!,2013-09-15
Uptown Funk,Lil Nas X,Soul,Best Hits,3.9,Super catchy and emotional.,2015-12-26
Can't Stop the Feeling,Imagine Dragons,House,Top Chart,4.5,A must-listen for all music lovers!,2008-11-04
Billie Jean,Nirvana,Soul,Golden Era,3.9,This song never gets old!,2017-07-21
Shape of You,Eminem,Funk,Platinum Records,3.3,An absolute banger!,2011-03-01
Payphone,Taylor Swift,Metal,Unplugged,4.0,Timeless classic!,2011-08-25
Shake It Off,The Weeknd,Metal,Golden Era,4.0,A must-listen for all music lovers!,2021-06-24
Bohemian Rhapsody,Billie Eilish,Pop,Top Chart,3.9,A masterpiece with incredible lyrics!,2013-04-20
